Study number,drain2,Clay,Sand,pH,Corg,OM,C_N,prec1,prec2,ETP,ETP2,PPE,PPE2,Tair,N_syn,N_org,Ntot,Org,type2,split2,crop2,till2,Cumul,EF,per_N_app,EF_2
8,0,171,726,6.5,21,3.6204,15,629.6,173,612,211,1.02875817,0.819905213,4,0,0.1436,0.1436,1,0,1,1,1,0.187,0.102367688,0.130222841,0.102367688
8,0,171,726,6.5,21,3.6204,15,629.6,173,612,211,1.02875817,0.819905213,4,0,0.1447,0.1447,1,0,1,1,1,0.213,0.119557706,0.147201106,0.119557706
8,0,171,726,6.5,21,3.6204,15,629.6,173,612,211,1.02875817,0.819905213,4,0,0.15,0.15,1,0,1,1,1,0.256,0.144,0.170666667,0.144
9,1,648,14,6.5,34.8,5.99952,12.21052632,704.9,252.2,612,211,1.151797386,1.195260664,4,0,0,0,0,0,0,0,1,2.5,,,
9,1,648,14,6.5,34.8,5.99952,12.21052632,704.9,252.2,612,211,1.151797386,1.195260664,4,0.15,0,0.15,0,0,0,0,1,10.7,5.466666667,7.133333333,5.466666667
9,1,648,14,6.5,34.8,5.99952,12.21052632,704.9,252.2,612,211,1.151797386,1.195260664,4,0,0.171,0.171,1,0,0,0,1,8.2,3.333333333,4.795321637,3.333333333
9,1,555,22,6.5,40.8,7.03392,12.83018868,761.2,204,612,211,1.24379085,0.966824645,4,0,0,0,0,0,0,0,1,1.5,,,
9,1,555,22,6.5,40.8,7.03392,12.83018868,761.2,204,612,211,1.24379085,0.966824645,4,0.15,0,0.15,0,0,0,0,1,6,3,4,3
9,1,555,22,6.5,40.8,7.03392,12.83018868,761.2,204,612,211,1.24379085,0.966824645,4,0,0.151,0.151,1,0,0,0,1,4,1.655629139,2.649006623,1.655629139
10,0,163,470,6,29.9,5.15476,14.23809524,599.3,244.1,612,211,0.979248366,1.156872038,4,0,0,0,0,0,0,0,1,3,,,
10,0,163,470,6,29.9,5.15476,14.23809524,599.3,244.1,612,211,0.979248366,1.156872038,4,0.03,0.097,0.127,1,0,1,0,1,5.23,1.755905512,4.118110236,1.755905512
10,0,163,470,6,29.9,5.15476,14.23809524,599.3,244.1,612,211,0.979248366,1.156872038,4,0.13,0,0.13,0,0,1,0,1,4.5,1.153846154,3.461538462,1.153846154
10,0,163,470,6,29.9,5.15476,14.23809524,599.3,244.1,612,211,0.979248366,1.156872038,4,0.03,0.107,0.137,1,0,1,0,1,3.6,0.437956204,2.627737226,0.437956204
10,0,163,470,6,29.9,5.15476,14.23809524,599.3,244.1,612,211,0.979248366,1.156872038,4,0.03,0.107,0.137,1,0,1,0,1,4.25,0.912408759,3.102189781,0.912408759
10,0,163,470,6,29.9,5.15476,14.23809524,599.3,244.1,612,211,0.979248366,1.156872038,4,0.03,0.108,0.138,1,0,1,0,1,3.8,0.579710145,2.753623188,0.579710145
10,0,163,470,6,29.9,5.15476,14.23809524,599.3,244.1,612,211,0.979248366,1.156872038,4,0.03,0.11,0.14,1,0,1,0,1,3.6,0.428571429,2.571428571,0.428571429
